0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
Daisy 7 27.980000
0 0 0.000000
0 0 0.000000
Roses 76 11.990000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
Jasmine 21 11.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
Iris 3 12.500000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
Lilac 18 9.990000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
Daffodil 106 19.990000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
0 0 0.000000
